_unit_id,positivity,date,headline,text,,,
842613455,3,8/14/91,Yields on CDs Fell in the Latest Week,"NEW YORK -- Yields on most certificates of deposit offered by major banks dropped more than a tenth of a percentage point in the latest week, reflecting the overall decline in short-term interest rates.</br></br>On small-denomination, or ""consumer,"" CDs sold directly by banks, the average yield on six-month deposits fell to 5.49% from 5.62% in the week ended yesterday, according to an 18-bank survey by Banxquote Money Markets, a Wilmington, Del., information service.</br></br>On three-month ""consumer"" deposits, the average yield sank to 5.29% from 5.42% the week before, according to Banxquote. Two banks in the Banxquote survey, Citibank in New York and CoreStates in Pennsylvania, are paying less than 5% on threemonth small-denomination CDs.</br></br>Declines were somewhat smaller on five-year consumer CDs, which eased to 7.37% from 7.45%, Banxquote said.</br></br>Yields on three-month and six-month Treasury bills sold at Monday's auction plummeted more than a fifth of a percentage point from the previous week, to 5.46% and 5.63%, respectively.",,,
842613459,3,10/4/02,Currency Trading: Dollar Remains in Tight Ranges Amid Wait for U.S. Jobs Data,"NEW YORK -- Indecision marked the dollar's tone, as traders paused for breath, awaiting a critical monthly U.S. employment report for release today.</br></br>The dollar ended the New York day slightly weaker against both the euro and the yen.</br></br>Market participants were also reluctant to make major bets on the yen, following a stream of more rigorous-sounding statements from top Japanese officials about the issue of bank reforms.</br></br>Late yesterday afternoon in New York, the euro was at 98.77 cents, slightly stronger than its 98.68-cent level late Wednesday. Against the yen, the dollar was trading at 122.59 yen, down modestly from 122.84 yen. Against the Swiss franc, the dollar was at 1.4782 francs, unchanged, while sterling was changing hands at $1.5698, up from $1.5689.</br></br>The euro managed to raise its head briefly above 99 cents during New York trade, for the first time in roughly four weeks, taking advantage of some softness in stock markets and some worries about the state of the U.S. economic recovery ahead of the employment report.",,,
842613460,3,11/23/11,"Stocks Fall Again; BofA, Alcoa Slide","Stocks declined, as investors weighed slower-than-expected domestic economic growth and continued euro-zone concerns against signs the Federal Reserve may take new steps to bolster the economy.</br></br>The Dow Jones Industrial Average fell 53.59 points, or 0.5%, to 11493.72, its lowest close since Oct. 17.</br></br>Weighing on the downside were Alcoa, which dropped 21 cents, or 2.2%, to $9.26, and Bank of America, which fell 12 cents, or 2.2%, to 5.37. Hewlett-Packard dropped 21 cents, or 0.8%, to 26.65, after the technology company issued a downbeat earnings outlook for the current quarter and the next fiscal year.</br></br>The S&P 500-stock index fell 4.94 points, or 0.4%, to 1188.04.</br></br>The Nasdaq Composite lost 1.86 points, or 0.1%, to 2521.28.",,,
842613464,4,11/1/84,U.S. Dollar Falls Against Most Currencies,,"The U.S. dollar declined against most major foreign currencies yesterday, although the drop was softened when bond prices failed to advance Tuesday's rally.</br></br>The dollar began weakening in Europe as interest rates fell there for dollar deposits. The decline continued in New York trading, which was thin, although the dollar recovered slightly when bond prices began falling. Lower bond prices translate into higher long-term interest yields, which make dollar denominated investments more attractive. The bond market later closed little-changed from Tuesday.</br></br>""This is the first time in a while that we've gone back to trading off interest rates, and my feeling is it will continue between now and the (U.S.) election,"" said Daniel Holland, an assistant vice president at Discount Corp., New York.</br></br>In late New York trading, the dollar fell to 3.0210 West German marks from 3.0318 marks on Tuesday. The British pound rose to $1.2223 from $1.2155.</br></br>In early Tokyo trading Thursday, the dollar strengthened against the Japanese currency, to 245.45 yen from 245.13 yen late yesterday in New York.",,
842613467,4,8/3/10,Defending Yourself Against Deflation,"Author: James B. Stewart</br></br>The dreaded ""D"" word is back in circulation, and I don't mean ""depression."" Having skirted that potential calamity, the worry for policy makers and investors now is deflation.</br></br>On the face of it, deflation--falling prices--doesn't seem like it would be so bad. Who wouldn't welcome discounts that just keep getting better, like those sales at Filene's Basement where prices got lower the longer merchandise stayed on the racks?</br></br>Of course, who knows what it really feels like, since most of us have never experienced prolonged deflation in our lifetime.</br></br>Maybe deflation would be a nice thing for people with secure, steady incomes. But deflation erodes profits and asset values. People wait to buy expecting lower prices, reducing demand. Lower profits cause companies to cut expenses, including employees. It is a downward spiral that, if Japan's experience is any indication, is difficult to arrest.",,,
842613472,3,2/2/95,Dollar Declines as Players Take Profits From Rally and After Fed Boosts Rates,"NEW YORK -- The dollar sagged yesterday, as news of a widely anticipated 0.50-percentage point rate increase by the Federal Reserve provided an excuse to take profits on Tuesday's powerful dollar rally.</br></br>The dollar also was depressed by the sell-off in U.S. Treasurys that followed the Fed's action, with bond-market participants concerned that U.S. economic growth will remain buoyant and thus prompt further Fed rate boosts.</br></br>The Federal Reserve decided at its policy-setting meeting yesterday to lift to 6% its Fed funds rate, or the rate banks charge each other for overnight loans. The Fed also raised to 5.25% the discount rate, or the rate at which it sells money to banks.</br></br>Explaining its decision, the Fed said that ""despite tentative signs of some moderation in growth, economic activity has continued to advance at a substantial pace.""</br></br>Traders, who had amassed dollars on Tuesday with the announcement of President Clinton's new aid package for Mexico, abruptly dumped them when the Fed made its announcement. The dollar fell quickly to intraday lows of 1.5150 marks and 98.85 yen within minutes of the Fed's statement; it recovered a little later in the session.",,,
842613475,7,4/14/10,"Tech Sector in Hiring Drive; Google, Intel Add Workers as Profits Snap Back; Start-Ups Also Fight for Talent","The technology industry, an engine of innovation and U.S. prosperity for more than half a century, is accelerating its recovery from the recession with surging earnings that have spurred companies to sharply ramp up their hiring.</br></br>The latest evidence for the rebound came Thursday, when Internet giant Google Inc. posted a 37% profit jump for the first quarter and chip maker Advanced Micro Devices Inc. reported a 34% revenue increase to record levels. The results follow the strong showing of bellwether Intel Corp., which Tuesday announced quarterly profit that nearly quadrupled on a 44% jump in sales.</br></br>The trio of results kicks off what is likely to be a strong earnings streak as tech spending by companies and consumers picks up. Next week, Apple Inc., Amazon.com Inc. and Microsoft Corp., among others, are slated to report quarterly results. Tech-research firm ISI Group projects that overall revenues from such companies will rise more than 10% for the first quarter, compared with a 16% decline a year earlier. Meanwhile, Standard & Poor's forecasts a 79% increase in tech earnings for the quarter from year-ago levels.</br></br>The growth has reached a level where tech companies are pushing to hire again, in some cases engaging in heated competition for talent. That's a turnabout for the industry, which had a series of layoffs last year, when some tech giants, notably Microsoft Corp., had mass layoffs for the first time.</br></br>The hiring ramp-up began late last year, with demand for tech goods and services stabilizing after months of declines. At the time, Google Chief Executive Eric Schmidt said the Mountain View, Calif., company was ready to spend again, including on new recruits. On Thursday, Google said it hired 786 new employees in the first quarter and was just getting started.",,,
842613476,6,3/4/92,Fed's Greenspan Refuses to Accept Blame for Recession,,"WASHINGTON -- While acknowledging that the pace of economic recovery ""has been little more than glacial,"" Federal Reserve Chairman Alan Greenspan refused to take blame for the recession.</br></br>In an appearance before Congress's Joint Economic Committee, Mr. Greenspan said he couldn't think of one policy decision the Fed has made that he would like ""to go back and revisit.""</br></br>""If you were doing it all over again, you'd do it the same way?"" asked Rep. Lee Hamilton (D., Ind.), vice chairman of the panel.</br></br>""I would -- with the knowledge we had at the particular times as things evolved,"" the Fed chairman replied.</br></br>Members of Congress from both parties and the Bush administration recently have intensified their criticism of the Fed for not lowering interest rates aggressively enough. The last rate reduction was made in December, and there was nothing in the chairman's remarks to indicate whether the Fed plans any further moves on interest rates.",,
842613482,6,12/11/92,Producer Prices Decreased 0.2% In November --- Drop Caused by 1.5% Fall For Energy and Decline Of 0.5% in Food Costs,"WASHINGTON -- In a sign that inflation remains under control even as the economy regains momentum, prices at the wholesale level dropped 0.2% in November, the Labor Department said.</br></br>The fall in the producer price index was caused by a big 1.5% drop in energy costs, reflecting the recent weakness in crude oil prices, and a 0.5% decline in food prices. Excluding these volatile sectors, producer prices edged up 0.1% in November after dropping 0.1% the month before. For the year ended in November, wholesale prices rose 1.3%.</br></br>Analysts said the latest inflation report indicates wholesalers are refusing to raise prices even as demand for their goods is picking up.</br></br>""Wholesalers and retailers are competing on a price containment basis,"" said Samuel Kahan, chief economist of Fuji Securities Inc. in Chicago. ""Instead, they are making profits through productivity gains.""</br></br>Prices were subdued across the board last month. Consumer goods and capital equipment showed moderation in pricing. There was a 1% rise in the price of passenger cars last month, following a drop of 2.3% in October. Prices for goods at the intermediate and crude stages of production in November dropped for the second straight month. Excluding food and energy, prices of intermediate goods were unchanged in November while prices of crude goods declined 0.9%.",,,
842613485,6,9/13/84,"Consumer Credit Continued Surge In July, Fed Says --- But Increase of $7.11 Billion Was Smaller Than Rises In Previous Two Months","WASHINGTON -- Consumer credit in July continued to grow at a rapid rate, although the pace was slower than in the previous two months, the Federal Reserve Board said.</br></br>Consumer credit increased a seasonally adjusted $7.11 billion in July, the board said, after rising $7.83 billion in June and a record $10.23 billion in May.</br></br>Alan Murray, vice president of Citicorp Information Services, said the July figures show that ""consumer demand remains strong,"" despite other signs that the vigorous economic recovery may be slowing. He said the continued heavy borrowing suggests that consumer spending isn't about to decline precipitously, as some consumer-goods producers had feared.</br></br>Still, Mr. Murray doesn't expect such unusually strong growth in consumer credit to continue. ""With increases like these,"" he said, ""sooner or later, the consumer has to run out of gas.""</br></br>The Fed report showed that consumer credit grew at a 19.75% annual rate in July, compared with an average annual pace of 24% during the second quarter and 11.5% for all of 1983. Stephen Roach, senior economist at Morgan Stanley & Co., said a further slowdown in consumer credit growth would be welcome because it would relieve upward pressure on interest rates.",,,
